Island,Province,Total Cases,Total Deaths,Total Recovered,Population,Total Positive
Jawa,Banten,7903752,219544,7306755,4492674706,377453
Jawa,DKI Jakarta,85445392,1504010,78551669,5075995860,5389713
Jawa,Daerah Istimewa Yogyakarta,7187415,178088,5957724,1539550360,1051603
Jawa,Jawa Barat,51682704,700539,44098522,19916144325,6883643
Jawa,Jawa Tengah,38201392,1756806,29658353,16945657552,6786233
Jawa,Jawa Timur,34484105,2584515,30517879,21818193397,1381711
Kalimantan,Kalimantan Barat,1280487,12907,1129608,1941367412,137972
Kalimantan,Kalimantan Selatan,6415286,216908,5633038,1621288747,565340
Kalimantan,Kalimantan Tengah,3141261,76298,2571715,879038838,493248
Kalimantan,Kalimantan Timur,12919987,326780,11563090,1605590332,1030117
Kalimantan,Kalimantan Utara,1657376,24604,1365373,239910590,267399
Maluku,Maluku,1388993,20739,1176688,640942659,191566
Maluku,Maluku Utara,923599,27436,762974,490426125,133189
Nusa Tenggara,Bali,8255018,229832,7163805,1829818214,861381
Nusa Tenggara,Nusa Tenggara Barat,1945007,81789,1512818,1876207932,350400
Nusa Tenggara,Nusa Tenggara Timur,1882932,47985,1523317,1969720844,311630
Papua,Papua,4013574,43827,2191741,1653672588,1778006
Papua,Papua Barat,1672394,28256,1505824,424340772,138314
Sulawesi,Sulawesi Barat,856746,17284,727603,584994000,111859
Sulawesi,Sulawesi Selatan,11469779,204374,10411221,3629350725,854184
Sulawesi,Sulawesi Tengah,1723505,47765,1453728,1052181852,222012
Sulawesi,Sulawesi Tenggara,2000562,38579,1747688,969849648,214295
Sulawesi,Sulawesi Utara,2883151,100099,2302796,943152588,480256
Sumatera,Aceh,2684295,107349,2080786,2046430230,496160
Sumatera,Bengkulu,1112287,31058,965079,715834962,116150
Sumatera,Jambi,1266740,21466,982837,1289048733,262437
Sumatera,Kepulauan Bangka Belitung,1922645,29922,1727690,509134023,165033
Sumatera,Kepulauan Riau,2176858,50871,1822407,657925400,303580
Sumatera,Lampung,2826869,143635,2329926,3592758445,353308
Sumatera,Riau,9763239,243153,8712330,2739419100,807756
Sumatera,Sumatera Barat,7650083,169023,6804095,2191140265,676965
Sumatera,Sumatera Selatan,4588412,240072,3865577,3377413461,482763
Sumatera,Sumatera Utara,6642146,238482,5561657,6336702714,842007
