Date,Cases,Deaths,Recovered
2021-01-01,7523,140,6370
2021-01-02,7040,228,6819
2021-01-03,6695,162,5489
2021-01-04,6382,118,6856
2021-01-05,7103,157,6761
2021-01-06,8683,208,8132
2021-01-07,8768,218,6966
2021-01-08,10424,207,7439
2021-01-09,9642,166,5870
2021-01-10,9351,165,7032
2021-01-11,8585,177,7109
2021-01-12,9726,301,7569
2021-01-13,11117,296,7847
2021-01-14,11410,283,7380
2021-01-15,12825,238,8067
2021-01-16,13906,237,7822
2021-01-17,10979,193,8460
2021-01-18,8936,253,9144
2021-01-19,10115,259,8040
2021-01-20,11565,188,8804
2021-01-21,11467,323,8623
2021-01-22,13170,212,8048
2021-01-23,12008,178,9698
2021-01-24,11732,151,7735
2021-01-25,9861,271,10073
2021-01-26,12645,327,10896
2021-01-27,11708,371,10501
2021-01-28,13633,423,10161
2021-01-29,13166,163,9453
2021-01-30,14399,189,9903
2021-01-31,11793,233,9704
2021-02-01,10815,300,10554
2021-02-02,10169,322,12983
2021-02-03,11653,201,7819
2021-02-04,11327,276,11633
2021-02-05,11510,214,9312
2021-02-06,11727,214,11832
2021-02-07,10680,151,9846
2021-02-08,7918,184,11935
2021-02-09,8574,220,9110
2021-02-10,8363,151,8749
2021-02-11,8021,207,9454
2021-02-12,9672,249,10978
2021-02-13,8736,280,11885
2021-02-14,6470,233,8700
2021-02-15,6241,161,6731
2021-02-16,9589,168,5740
2021-02-17,9670,96,7936
2021-02-18,8138,126,9422
2021-02-19,10116,151,9789
2021-02-20,7889,159,9271
2021-02-21,7012,151,7258
2021-02-22,9760,217,9978
2021-02-23,9554,312,8502
2021-02-24,7066,228,8054
2021-02-25,8314,285,8838
2021-02-26,8096,265,7386
2021-02-27,6105,190,7371
2021-02-28,5428,180,7030
2021-03-01,6347,145,8295
2021-03-02,5559,200,8560
2021-03-03,6565,196,9289
2021-03-04,7189,181,6596
2021-03-05,6716,138,6443
2021-03-06,5533,119,5625
2021-03-07,5610,99,4941
2021-03-08,6659,268,8782
2021-03-09,5960,213,7404
2021-03-10,5494,160,5828
2021-03-11,4905,114,8390
2021-03-12,6332,208,7153
2021-03-13,4296,75,4110
2021-03-14,4339,96,5667
2021-03-15,5237,123,5627
2021-03-16,5195,162,7256
2021-03-17,6358,211,9058
2021-03-18,6436,226,6260
2021-03-19,6038,197,5510
2021-03-20,5358,164,5648
2021-03-21,4369,106,5654
2021-03-22,5196,140,6616
2021-03-23,4778,145,6180
2021-03-24,5090,115,8555
2021-03-25,5797,96,4381
2021-03-26,4655,89,5408
2021-03-27,4083,184,3777
2021-03-28,4040,88,4065
2021-03-29,4500,129,5843
2021-03-30,4541,130,5552
2021-03-31,5758,90,5260
2021-04-01,4652,178,4721
2021-04-02,5274,88,4057
2021-04-03,4010,87,2991
2021-04-04,6675,283,9371
2021-04-05,3333,121,5405
2021-04-06,4312,144,3997
2021-04-07,4474,99,5989
2021-04-08,5117,127,6794
2021-04-09,5057,117,6152
2021-04-10,4657,97,3551
2021-04-11,3872,60,4876
2021-04-12,4338,104,4595
2021-04-13,5449,115,6024
2021-04-14,5359,102,5014
2021-04-15,5796,162,6298
2021-04-16,5228,114,5679
2021-04-17,4717,117,5574
2021-04-18,4472,91,4863
2021-04-19,4741,131,5810
2021-04-20,5191,210,6172
2021-04-21,5401,218,7194
2021-04-22,5876,161,5788
2021-04-23,5360,170,5865
2021-04-24,4264,146,4864
2021-04-25,4236,80,3581
2021-04-26,5037,113,4358
2021-04-27,4373,168,4523
2021-04-28,5100,163,4597
2021-04-29,5652,209,5817
2021-04-30,5396,177,5125
2021-05-01,4168,115,4077
2021-05-02,3855,132,3165
2021-05-03,4628,152,4678
2021-05-04,3989,171,5178
2021-05-05,4921,204,5255
2021-05-06,5332,146,5270
2021-05-07,6291,166,5831
2021-05-08,5873,172,5341
2021-05-09,3791,164,4184
2021-05-10,4618,198,5943
2021-05-11,4595,238,5041
2021-05-12,4452,140,4412
2021-05-13,3343,84,4139
2021-05-14,2527,105,3726
2021-05-15,2103,130,3873
2021-05-16,2687,114,3589
2021-05-17,4181,201,4918
2021-05-18,4124,168,5466
2021-05-19,4818,188,4416
2021-05-20,5763,211,4706
2021-05-21,5328,167,4470
2021-05-22,5113,130,3166
2021-05-23,5069,118,3324
2021-05-24,5439,124,4745
2021-05-25,4746,159,3582
2021-05-26,4837,131,3085
2021-05-27,5990,125,3673
2021-05-28,5443,178,5252
2021-05-29,6365,138,5176
2021-05-30,6017,146,3927
2021-05-31,5502,182,4902
2021-06-01,4507,116,4967
2021-06-02,4917,167,5510
2021-06-03,5178,187,10954
2021-06-04,5868,183,5399
2021-06-05,6151,149,4028
2021-06-06,5643,147,3867
2021-06-07,6961,192,5575
2021-06-08,5775,182,5143
2021-06-09,7561,164,5633
2021-06-10,8623,205,5431
2021-06-11,7557,181,5723
2021-06-12,7286,155,5086
2021-06-13,9825,136,4516
2021-06-14,7966,205,5935
2021-06-15,7904,154,5885
2021-06-16,9497,190,5782
2021-06-17,12487,325,7262
2021-06-18,12633,269,7162
2021-06-19,12746,220,7302
2021-06-20,13375,332,5960
2021-06-21,14281,255,8880
2021-06-22,13056,329,8489
2021-06-23,15111,276,7025
2021-06-24,19982,324,8810
2021-06-25,18332,415,8298
2021-06-26,20990,345,7155
2021-06-27,21032,399,8060
2021-06-28,20452,427,9132
2021-06-29,20367,454,9546
2021-06-30,20853,451,10475
2021-07-01,23584,476,9349
2021-07-02,25620,567,11384
2021-07-03,27234,431,12979
2021-07-04,26510,484,12665
2021-07-05,28940,576,13963
2021-07-06,30506,696,15776
2021-07-07,33645,913,14492
2021-07-08,38064,858,20903
2021-07-09,38113,854,28634
