Cases,Island,Province,Deaths,Recovered
629835,Jawa,DKI Jakarta,9054,521911
431474,Jawa,Jawa Barat,5771,340988
284091,Jawa,Jawa Tengah,12443,222716
189618,Jawa,Jawa Timur,13611,160160
82287,Kalimantan,Kalimantan Timur,1951,72789
73449,Sumatera,Riau,1957,66745
70447,Jawa,Daerah Istimewa Yogyakarta,1816,52471
59349,Sulawesi,Sulawesi Selatan,757,54516
57452,Jawa,Banten,1316,47125
51481,Sumatera,Sumatera Barat,1125,45237
50447,Nusa Tenggara,Bali,1510,44190
35604,Sumatera,Sumatera Utara,1113,31852
33475,Kalimantan,Kalimantan Selatan,909,31134
28765,Sumatera,Sumatera Selatan,1411,24907
23331,Sumatera,Kepulauan Riau,395,17375
22050,Sumatera,Lampung,1043,17534
20705,Kalimantan,Kalimantan Tengah,246,15122
19432,Sumatera,Kepulauan Bangka Belitung,274,17553
19045,Nusa Tenggara,Nusa Tenggara Timur,385,13328
18609,Sumatera,Aceh,743,14269
14359,Sulawesi,Sulawesi Utara,392,12472
14312,Papua,Papua,87,7982
12621,Kalimantan,Kalimantan Barat,267,10765
12119,Sulawesi,Sulawesi Tengah,294,10465
11181,Sumatera,Jambi,177,9575
10600,Kalimantan,Kalimantan Utara,86,9325
10573,Nusa Tenggara,Nusa Tenggara Barat,320,8894
10023,Papua,Papua Barat,83,7827
9115,Sulawesi,Sulawesi Tenggara,132,8116
8812,Sumatera,Bengkulu,85,7178
6524,Maluku,Maluku,51,5498
5033,Sulawesi,Sulawesi Barat,69,4170
4917,Maluku,Maluku Utara,50,3723
